Row Labels,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Grand Total
Switzerland,1181,1304,1045,1172,1312,1276,1173,1112,967,1159,1001,1011,1039,1072,1112,1030,1119,1004,839,934,850,1077,792,1112,979,834,609,992,1010,30117
Syrian Arab Republic,2,3,3,2,2,3,3,3,3,3,2,2,2,2,2,1,1,1,1,,1,1,1,,,,,,,44
Tajikistan,95,131,82,65,52,39,56,60,20,62,50,40,2,3,3,2,2,2,2,2,1,2,2,2,2,2,2,2,,785
Tunisia,292,221,372,352,468,397,310,264,235,358,286,347,216,291,245,222,230,284,328,320,325,305,305,320,370,350,350,350,,8713
Turkmenistan,492,150,360,360,354,360,396,402,408,420,432,438,444,390,402,377,378,377,377,379,383,382,385,387,495,498,498,498,,11222
Ukraine,1860,1720,1550,1260,1250,1290,1780,2430,2380,2012,2130,2160,2516,2651,3181,3002,3170,2400,2827,1229,920,1242,1039,1010,990,660,660,660,,49979
United Kingdom,18,26,6,12,13,14,15,10,15,17,17,20,22,19,22,28,23,8,33,47,40,38,40,98,79,65,67,91,,903
United States of America,18668,18877,22000,20504,19050,21500,19200,20300,19500,20109,22888,19440,19870,19340,21965,20887,20097,22732,25584,24253,22818,24901,24506,26074,25562,22750,24070,22385,24288,634118
Uruguay,852,963,1028,1050,1050,904,873,714,840,1126,876,939,884,796,620,769,901,962,667,670,658,755,763,745,604,695,749,756,503,23712
Uzbekistan,830,550,650,620,590,410,435,336,458,350,241,231,250,245,211,213,361,375,358,253,345,272,256,229,216,218,218,218,,9939
Zimbabwe,15,15,16,16,16,16,16,16,16,16,21,24,18,18,18,18,18,18,18,20,23,21,22,20,14,14,14,14,,491
Grand Total,501748,539254,524735,519087,559158,553891,526632,510636,523853,590903,552633,565635,536148,538267,538509,523601,535466,521284,584435,540905,554203,541098,496609,589486,515743,524295,520171,524709,466596,15519690
