station,date,DP10,DP1X,DT32,DX70,DX90,EMNT,EMXP,EMXT,HTDD,MNPN,MXPN,PRCP,TAVG,TMAX,country,latitude,longitude,elevation,location,geometry
IN001020700,2001-01-01T00:00:00,,,,343.0,225.0,,,108.0,,,,,,93.6,GH,14.583,77.633,364.0,PBO ANANTAPUR                          43237,POINT (8642066.028754206 1630436.7231474826)
IN001020700,2002-01-01T00:00:00,,,,333.0,241.0,,,109.0,,,,,,94.0,GH,14.583,77.633,364.0,PBO ANANTAPUR                          43237,POINT (8642066.028754206 1630436.7231474826)
IN001020700,2004-01-01T00:00:00,,,0.0,347.0,220.0,55.0,,110.0,,,,,81.8,92.6,GH,14.583,77.633,364.0,PBO ANANTAPUR                          43237,POINT (8642066.028754206 1630436.7231474826)
IN001020700,2005-01-01T00:00:00,,,,352.0,222.0,,,111.0,,,,,,93.3,GH,14.583,77.633,364.0,PBO ANANTAPUR                          43237,POINT (8642066.028754206 1630436.7231474826)
IN001020700,2006-01-01T00:00:00,,,0.0,358.0,252.0,56.0,,108.0,,,,,82.7,93.6,GH,14.583,77.633,364.0,PBO ANANTAPUR                          43237,POINT (8642066.028754206 1630436.7231474826)
IN001020700,2008-01-01T00:00:00,,,0.0,,,52.0,,,,,,,,,GH,14.583,77.633,364.0,PBO ANANTAPUR                          43237,POINT (8642066.028754206 1630436.7231474826)
IN001020700,2009-01-01T00:00:00,,,0.0,354.0,248.0,54.0,,109.0,,,,,82.3,94.1,GH,14.583,77.633,364.0,PBO ANANTAPUR                          43237,POINT (8642066.028754206 1630436.7231474826)
IN001020700,2010-01-01T00:00:00,,,,346.0,218.0,,,109.0,,,,,,94.2,GH,14.583,77.633,364.0,PBO ANANTAPUR                          43237,POINT (8642066.028754206 1630436.7231474826)
IN001020700,2012-01-01T00:00:00,,,0.0,359.0,286.0,50.0,,109.0,,,,,83.2,95.5,GH,14.583,77.633,364.0,PBO ANANTAPUR                          43237,POINT (8642066.028754206 1630436.7231474826)
IN001020700,2013-01-01T00:00:00,,,,363.0,282.0,,,109.0,,,,,,94.9,GH,14.583,77.633,364.0,PBO ANANTAPUR                          43237,POINT (8642066.028754206 1630436.7231474826)
IN001020700,2014-01-01T00:00:00,,,,356.0,277.0,,,108.0,,,,,,95.3,GH,14.583,77.633,364.0,PBO ANANTAPUR                          43237,POINT (8642066.028754206 1630436.7231474826)
IN001020700,2015-01-01T00:00:00,,,,361.0,310.0,,,108.0,,,,,,95.9,GH,14.583,77.633,364.0,PBO ANANTAPUR                          43237,POINT (8642066.028754206 1630436.7231474826)
IN001020700,2016-01-01T00:00:00,,,0.0,,,52.0,,,,,,,,,GH,14.583,77.633,364.0,PBO ANANTAPUR                          43237,POINT (8642066.028754206 1630436.7231474826)
IN001020700,2018-01-01T00:00:00,,,0.0,,,52.0,,,,,,,,,GH,14.583,77.633,364.0,PBO ANANTAPUR                          43237,POINT (8642066.028754206 1630436.7231474826)
IN001020700,2019-01-01T00:00:00,,,0.0,,,54.0,,,,,,,,,GH,14.583,77.633,364.0,PBO ANANTAPUR                          43237,POINT (8642066.028754206 1630436.7231474826)
IN001020700,2021-01-01T00:00:00,,,0.0,,,56.0,,,,,,,,,GH,14.583,77.633,364.0,PBO ANANTAPUR                          43237,POINT (8642066.028754206 1630436.7231474826)
IN001020700,2023-01-01T00:00:00,,,0.0,,,53.0,,,,,,,,,GH,14.583,77.633,364.0,PBO ANANTAPUR                          43237,POINT (8642066.028754206 1630436.7231474826)
IN006011400,2016-01-01T00:00:00,,,,348.0,205.0,,,110.0,,,,,,89.3,GH,30.733,76.883,347.0,CHANDIGARH(IAFB)                       42105,POINT (8558576.410659252 3576289.575092044)
IN006011400,2018-01-01T00:00:00,,,,333.0,184.0,,,110.0,,,,,,88.2,GH,30.733,76.883,347.0,CHANDIGARH(IAFB)                       42105,POINT (8558576.410659252 3576289.575092044)
IN006011400,2019-01-01T00:00:00,,,,314.0,171.0,,,112.0,,,,,,86.7,GH,30.733,76.883,347.0,CHANDIGARH(IAFB)                       42105,POINT (8558576.410659252 3576289.575092044)
