Row Labels,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Grand Total
Guadeloupe,69,69,69,69,69,69,69,69,69,69,,,,,,,,,,,,,,,,,,,,690
Guam,,,,,,,,,1,1,1,1,1,1,,,,,,1,2,2,1,,,,,,,12
Guinea,4,4,3,4,4,4,9,14,13,7,7,7,8,1,1,14,12,7,6,6,5,5,6,7,8,9,9,9,,193
Guinea-Bissau,20,25,34,12,24,36,31,43,37,35,41,30,44,42,41,53,71,71,68,70,78,86,101,100,97,100,100,100,,1590
Guyana,,,,,,,,,1,,1,,,,,,1,1,,,,,1,2,2,3,3,3,,18
Haiti,3,3,3,4,4,4,7,9,4,3,5,5,8,5,7,7,8,8,8,12,8,9,16,18,18,18,18,18,,240
Honduras,4,5,6,5,8,10,6,14,11,6,14,15,20,21,16,11,11,16,16,14,14,15,19,20,20,20,20,20,,377
Hungary,3087,3050,2945,2945,3182,3150,3200,3454,3120,3080,2643,2884,2822,3029,2611,2345,2591,2355,2357,2149,2491,2638,2426,2404,2054,2016,1705,1657,1644,76034
Iceland,15,16,17,20,23,23,24,25,28,30,30,36,39,39,56,47,38,39,40,40,42,44,44,45,46,50,50,50,,996
India,1,,1,1,2,1,,,2,28,62,82,112,131,139,160,174,176,185,191,202,217,231,245,232,208,217,217,,3217
Indonesia,1,5,2,4,4,5,3,7,4,,,,,,,,,,,,,6,27,49,49,25,25,25,,241
Iran,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,2
Iraq,,,,,,,,,1,2,,2,1,2,2,3,5,6,6,4,5,8,8,6,8,10,10,10,,99
Ireland,155,260,286,325,373,420,470,495,580,562,682,708,734,754,677,636,678,731,767,747,743,784,805,765,752,919,911,763,,17482
Israel,102,62,76,79,78,90,71,83,61,63,62,55,51,66,56,61,61,80,34,9,43,47,51,76,22,38,38,38,,1653
Italy,35623,34693,30855,31840,31563,30800,30150,27709,29343,28300,27016,27332,26700,26166,23000,23500,22000,21600,20800,19500,21400,22400,22600,22400,22600,24200,24200,22352,21800,752442
Jamaica,3,8,9,9,10,13,14,11,10,12,22,23,18,20,21,22,19,16,21,24,26,40,59,56,47,45,45,45,,668
Japan,1726,1746,2380,3900,3353,2626,2788,2784,2544,2523,2532,2557,2293,2374,2533,2610,2778,3120,3398,3490,3555,3523,3524,3488,3543,3518,3148,3166,3232,84752
Jordan,,,1,2,2,1,1,1,1,1,2,2,1,1,1,2,2,2,2,2,2,3,3,2,3,3,3,3,,49
Kazakhstan,150,163,243,328,259,315,163,271,358,280,305,254,240,198,258,264,270,283,317,352,358,368,413,527,581,545,450,459,,8972
Kenya,18,17,17,20,20,18,26,28,25,35,30,36,33,30,31,44,47,53,57,59,58,58,60,73,80,71,71,71,,1186
Kiribati,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1
Korea (the Republic of),54,56,90,21,55,77,85,110,134,153,182,212,305,276,220,234,249,276,310,328,383,407,371,386,422,491,655,740,,7282
Kyrgyzstan,32,68,66,33,16,17,39,38,39,26,23,23,24,25,24,25,25,27,31,29,31,36,37,56,65,40,30,30,,955
Lao People's Democratic Republic,,1,2,2,2,4,6,7,7,7,8,8,8,9,11,12,14,16,19,24,26,28,20,12,14,16,16,16,,315
Latvia,96,101,74,57,164,147,119,145,166,51,70,154,104,93,82,79,82,86,90,79,79,93,95,87,83,91,90,90,,2747
Lebanon,270,142,216,163,163,152,148,137,135,135,132,120,99,80,63,59,63,76,84,83,91,97,91,89,88,86,82,82,,3226
Lesotho,4,4,4,4,4,4,4,,,,,,1,1,1,1,1,1,5,12,12,11,15,11,10,15,15,15,,155
Liberia,2,,3,1,1,1,1,1,,1,1,,1,1,1,2,2,2,2,4,4,5,10,13,10,8,8,8,,93
Libya,,,,,,,,,,,,,,,,,,,,,1,1,,,1,1,1,1,,6
Lithuania,126,284,192,207,247,190,186,235,238,193,201,72,58,151,228,263,310,332,356,381,368,352,359,356,356,333,310,310,,7194
Luxemburg,,,,,,270,256,283,253,263,254,257,241,266,258,271,257,266,262,271,266,260,258,272,276,257,255,264,249,6285
Madagascar,89,90,91,93,93,92,93,92,93,94,65,75,82,85,89,90,93,97,93,90,85,82,84,90,89,86,83,83,,2461
Malawi,2,3,4,3,4,,2,7,8,3,2,3,2,2,4,3,2,3,3,2,2,1,1,18,18,2,2,2,,108
Malaysia,12,8,8,14,22,21,22,26,45,93,41,37,35,41,37,47,45,33,36,49,61,69,88,92,78,62,62,62,,1246
Maldives,1,3,3,3,3,4,4,6,7,8,7,8,11,12,12,12,14,14,13,14,13,14,15,18,21,22,22,22,,306
Mali,4,1,1,1,2,1,3,19,3,2,3,3,3,3,3,6,6,3,3,3,6,6,4,5,12,19,19,19,,163
Malta,28,32,32,22,37,25,30,35,70,70,70,118,79,66,73,65,60,65,62,60,67,72,79,72,69,48,42,66,,1614
Martinique,48,48,48,48,48,48,48,48,48,48,,,,,,,,,,,,,,,,,,,,480
Mauritania,,,,,,,,,,1,,,,1,,,,1,,,,,1,1,,,,,,5
Mauritius,10,10,12,12,20,16,11,12,14,16,17,15,17,19,16,18,19,17,17,19,20,22,23,23,22,16,16,16,,465
Mexico,148,150,191,232,273,315,345,375,405,435,369,400,508,548,574,614,857,882,944,928,1011,1073,1094,1193,1216,1109,1080,1417,1501,20187
Moldova,1468,880,1075,700,495,578,429,208,206,211,100,533,558,605,299,400,400,301,400,400,406,264,291,454,228,329,329,329,,12876
Mongolia,,,4,4,4,6,4,4,6,13,13,13,13,16,14,14,20,23,19,16,16,14,15,20,20,18,18,18,,345
Montenegro,,,,,,,,,,,,117,81,122,134,134,103,102,123,84,61,61,67,68,62,52,37,37,,1445
