Year,country,Gallons
2022,AJ,3090812.4
1995,BF,0.0
1996,BF,0.0
1997,BF,0.0
1998,BF,0.0
1999,BF,0.0
2000,BF,0.0
2001,BF,0.0
2002,BF,0.0
2003,BF,0.0
2004,BF,0.0
2005,BF,0.0
2006,BF,0.0
2007,BF,0.0
2008,BF,0.0
2009,BF,0.0
2010,BF,0.0
2011,BF,0.0
2012,BF,0.0
2013,BF,0.0
2014,BF,0.0
2015,BF,0.0
2016,BF,0.0
2017,BF,0.0
2018,BF,0.0
2019,BF,0.0
2020,BF,0.0
2021,BF,0.0
2022,BF,0.0
1995,BA,0.0
1996,BA,0.0
1997,BA,0.0
1998,BA,0.0
1999,BA,0.0
2000,BA,0.0
2001,BA,0.0
2002,BA,0.0
2003,BA,0.0
2004,BA,0.0
2005,BA,0.0
2006,BA,0.0
2007,BA,0.0
2008,BA,0.0
2009,BA,0.0
2010,BA,0.0
2011,BA,0.0
2012,BA,0.0
2013,BA,0.0
2014,BA,0.0
2015,BA,0.0
2016,BA,0.0
2017,BA,0.0
2018,BA,0.0
2019,BA,0.0
2020,BA,0.0
2021,BA,0.0
2022,BA,0.0
1995,BG,0.0
1996,BG,0.0
1997,BG,0.0
1998,BG,0.0
1999,BG,0.0
2000,BG,0.0
2001,BG,0.0
2002,BG,0.0
2003,BG,0.0
2004,BG,0.0
2005,BG,0.0
2006,BG,0.0
2007,BG,0.0
2008,BG,0.0
2009,BG,0.0
2010,BG,0.0
2011,BG,0.0
2012,BG,0.0
2013,BG,0.0
2014,BG,0.0
2015,BG,0.0
2016,BG,0.0
2017,BG,0.0
2018,BG,0.0
2019,BG,0.0
2020,BG,0.0
2021,BG,0.0
2022,BG,0.0
1995,BB,0.0
1996,BB,0.0
1997,BB,0.0
1998,BB,0.0
1999,BB,0.0
2000,BB,0.0
2001,BB,0.0
2002,BB,0.0
2003,BB,0.0
2004,BB,0.0
2005,BB,0.0
2006,BB,0.0
2007,BB,0.0
2008,BB,0.0
2009,BB,0.0
2010,BB,0.0
2011,BB,0.0
2012,BB,0.0
2013,BB,0.0
2014,BB,0.0
2015,BB,0.0
2016,BB,0.0
2017,BB,0.0
2018,BB,0.0
2019,BB,0.0
2020,BB,0.0
2021,BB,0.0
2022,BB,0.0
1995,BO,2694554.4
1996,BO,4940016.4
1997,BO,5283440.0
1998,BO,5019268.0
1999,BO,1849204.0
2000,BO,2562468.4
2001,BO,2615302.8000000003
2002,BO,1981290.0
2003,BO,3090812.4
2004,BO,4226752.0
2005,BO,4358838.0
2006,BO,3275732.8000000003
2007,BO,5283440.0
2008,BO,6789220.4
2009,BO,5547612.0
2010,BO,6630717.2
2011,BO,7079809.600000001
2012,BO,7185478.4
2013,BO,7449650.4
2014,BO,7925160.0
2015,BO,7581736.4
2016,BO,7238312.8
2017,BO,8189332.0
2018,BO,8453504.0
2019,BO,8981848.0
2020,BO,8030828.8
2021,BO,8030828.8
2022,BO,8030828.8
1995,BE,26417.2
1996,BE,26417.2
1997,BE,26417.2
1998,BE,26417.2
1999,BE,52834.4
2000,BE,52834.4
2001,BE,52834.4
2002,BE,52834.4
2003,BE,52834.4
2004,BE,52834.4
2005,BE,26417.2
2006,BE,52834.4
2007,BE,52834.4
2008,BE,158503.2
2009,BE,158503.2
2010,BE,132086.0
2011,BE,132086.0
2012,BE,79251.6
2013,BE,158503.2
2014,BE,184920.4
2015,BE,264172.0
2016,BE,211337.6
2017,BE,237754.80000000002
2018,BE,528344.0
2019,BE,396258.0
2020,BE,475509.60000000003
2021,BE,343423.60000000003
2022,BE,792516.0
2023,BE,898184.8
1995,BH,0.0
1996,BH,0.0
1997,BH,0.0
1998,BH,0.0
1999,BH,0.0
2000,BH,0.0
2001,BH,0.0
2002,BH,0.0
2003,BH,0.0
2004,BH,0.0
2005,BH,0.0
2006,BH,0.0
2007,BH,0.0
2008,BH,0.0
2009,BH,0.0
2010,BH,0.0
2011,BH,0.0
2012,BH,0.0
2013,BH,0.0
2014,BH,0.0
2015,BH,0.0
2016,BH,0.0
2017,BH,0.0
2018,BH,0.0
2019,BH,0.0
2020,BH,0.0
2021,BH,0.0
2022,BH,0.0
1995,BN,0.0
1996,BN,0.0
1997,BN,0.0
1998,BN,0.0
1999,BN,0.0
2000,BN,0.0
2001,BN,0.0
2002,BN,0.0
2003,BN,0.0
2004,BN,0.0
2005,BN,0.0
2006,BN,0.0
2007,BN,0.0
2008,BN,0.0
2009,BN,0.0
2010,BN,0.0
2011,BN,0.0
2012,BN,0.0
2013,BN,0.0
2014,BN,0.0
2015,BN,0.0
2016,BN,0.0
2017,BN,0.0
2018,BN,0.0
2019,BN,0.0
2020,BN,0.0
2021,BN,0.0
2022,BN,0.0
1995,BD,0.0
1996,BD,0.0
1997,BD,0.0
1998,BD,0.0
1999,BD,0.0
2000,BD,0.0
2001,BD,0.0
2002,BD,0.0
2003,BD,0.0
2004,BD,0.0
2005,BD,0.0
2006,BD,0.0
2007,BD,0.0
2008,BD,0.0
2009,BD,0.0
2010,BD,0.0
2011,BD,0.0
2012,BD,0.0
2013,BD,0.0
