station,date,DP10,DP01,DP1X,DT32,DT00,DX70,DX90,PRCP,RHAV,TAVG,TMAX,TMIN,EMXT,EMNT,HTDD,EMXP,MNPN,MXPN,HXyz,HNyz
GHCND:AG000060590,1997-01-01,,,,,,,148,,,,,,,,,,,,,
GHCND:AG000060590,1997-01-01,,,,,,,,,,,,,,30.0,,,,,,
GHCND:AG000060590,1997-01-01,,,,,,,,,,,,,,,,0.94,,,,
GHCND:AG000060590,1997-01-01,,,,,,,,,,,,,116.0,,,,,,,
GHCND:AG000060590,1997-01-01,,,,,,,,,,,,,,,1326.0,,,,,
GHCND:AG000060590,1997-01-01,,,,,,,,3.07,,,,,,,,,,,,
GHCND:AG000060590,1997-01-01,,,,,,,,,,72.4,,,,,,,,,,
GHCND:AG000060590,1997-01-01,,,,,,,,,,,85.3,,,,,,,,,
GHCND:AG000060590,1997-01-01,,,,,,,,,,,,59.6,,,,,,,,
GHCND:AG000060590,1998-01-01,,1,,,,,,,,,,,,,,,,,,
GHCND:AG000060590,1998-01-01,0,,,,,,,,,,,,,,,,,,,
GHCND:AG000060590,1998-01-01,,,0,,,,,,,,,,,,,,,,,
GHCND:AG000060590,1998-01-01,,,,,0,,,,,,,,,,,,,,,
GHCND:AG000060590,1998-01-01,,,,16,,,,,,,,,,,,,,,,
GHCND:AG000060590,1998-01-01,,,,,,267,,,,,,,,,,,,,,
GHCND:AG000060590,1998-01-01,,,,,,,154,,,,,,,,,,,,,
GHCND:AG000060590,1998-01-01,,,,,,,,,,,,,,27.0,,,,,,
GHCND:AG000060590,1998-01-01,,,,,,,,,,,,,,,,0.04,,,,
GHCND:AG000060590,1998-01-01,,,,,,,,,,,,,116.0,,,,,,,
GHCND:AG000060590,1998-01-01,,,,,,,,,,,,,,,1290.0,,,,,
GHCND:AG000060590,1998-01-01,,,,,,,,0.04,,,,,,,,,,,,
GHCND:AG000060590,1998-01-01,,,,,,,,,,71.8,,,,,,,,,,
GHCND:AG000060590,1998-01-01,,,,,,,,,,,85.4,,,,,,,,,
GHCND:AG000060590,1998-01-01,,,,,,,,,,,,58.2,,,,,,,,
GHCND:AG000060590,2006-01-01,,12,,,,,,,,,,,,,,,,,,
GHCND:AG000060590,2006-01-01,4,,,,,,,,,,,,,,,,,,,
GHCND:AG000060590,2006-01-01,,,0,,,,,,,,,,,,,,,,,
GHCND:AG000060590,2006-01-01,,,,,,250,,,,,,,,,,,,,,
GHCND:AG000060590,2006-01-01,,,,,,,174,,,,,,,,,,,,,
GHCND:AG000060590,2006-01-01,,,,,,,,,,,,,,,,0.55,,,,
GHCND:AG000060590,2006-01-01,,,,,,,,,,,,,117.0,,,,,,,
GHCND:AG000060590,2006-01-01,,,,,,,,1.5,,,,,,,,,,,,
GHCND:AG000060590,2006-01-01,,,,,,,,,,,87.6,,,,,,,,,
GHCND:AG000060590,2007-01-01,,0,,,,,,,,,,,,,,,,,,
GHCND:AG000060590,2007-01-01,0,,,,,,,,,,,,,,,,,,,
GHCND:AG000060590,2007-01-01,,,0,,,,,,,,,,,,,,,,,
GHCND:AG000060590,2007-01-01,,,,,,,,,,,,,,,,0.0,,,,
GHCND:AG000060590,2007-01-01,,,,,,,,0.0,,,,,,,,,,,,
GHCND:AG000060590,2008-01-01,,8,,,,,,,,,,,,,,,,,,
GHCND:AG000060590,2008-01-01,4,,,,,,,,,,,,,,,,,,,
GHCND:AG000060590,2008-01-01,,,1,,,,,,,,,,,,,,,,,
GHCND:AG000060590,2008-01-01,,,,,0,,,,,,,,,,,,,,,
GHCND:AG000060590,2008-01-01,,,,17,,,,,,,,,,,,,,,,
GHCND:AG000060590,2008-01-01,,,,,,,,,,,,,,27.0,,,,,,
GHCND:AG000060590,2008-01-01,,,,,,,,,,,,,,,,1.1,,,,
GHCND:AG000060590,2008-01-01,,,,,,,,1.73,,,,,,,,,,,,
GHCND:AG000060590,2008-01-01,,,,,,,,,,,,58.1,,,,,,,,
GHCND:AG000060590,2009-01-01,,10,,,,,,,,,,,,,,,,,,
GHCND:AG000060590,2009-01-01,6,,,,,,,,,,,,,,,,,,,
GHCND:AG000060590,2009-01-01,,,0,,,,,,,,,,,,,,,,,
GHCND:AG000060590,2009-01-01,,,,,,,,,,,,,,,,0.79,,,,
GHCND:AG000060590,2009-01-01,,,,,,,,2.91,,,,,,,,,,,,
GHCND:AG000060590,2010-01-01,,3,,,,,,,,,,,,,,,,,,
GHCND:AG000060590,2010-01-01,0,,,,,,,,,,,,,,,,,,,
GHCND:AG000060590,2010-01-01,,,0,,,,,,,,,,,,,,,,,
GHCND:AG000060590,2010-01-01,,,,,,,,,,,,,,,,0.04,,,,
GHCND:AG000060590,2010-01-01,,,,,,,,0.1,,,,,,,,,,,,
GHCND:AG000060590,2011-01-01,,8,,,,,,,,,,,,,,,,,,
GHCND:AG000060590,2011-01-01,3,,,,,,,,,,,,,,,,,,,
GHCND:AG000060590,2011-01-01,,,0,,,,,,,,,,,,,,,,,
GHCND:AG000060590,2011-01-01,,,,,,,,,,,,,,,,0.31,,,,
GHCND:AG000060590,2011-01-01,,,,,,,,0.78,,,,,,,,,,,,
GHCND:AG000060590,2013-01-01,,8,,,,,,,,,,,,,,,,,,
GHCND:AG000060590,2013-01-01,3,,,,,,,,,,,,,,,,,,,
