station,date,DP10,DP1X,DT32,DX70,DX90,EMNT,EMXP,EMXT,HTDD,MNPN,MXPN,PRCP,TAVG,TMAX,code,latitude,longitude,elevation,location,geometry
AGE00147716,2019,21.0,1.0,0.0,,,38.0,1.3,,,,,9.74,,,AG,35.1,-1.85,83.0,NEMOURS (GHAZAOUET)                    60517,POINT (-205941.05796755612 4152909.538265234)
AGE00147716,2020,11.0,2.0,0.0,,,40.0,1.57,,,,,7.5,,,AG,35.1,-1.85,83.0,NEMOURS (GHAZAOUET)                    60517,POINT (-205941.05796755612 4152909.538265234)
AGE00147716,2022,26.0,0.0,0.0,,,40.0,0.94,,,,,9.72,,,AG,35.1,-1.85,83.0,NEMOURS (GHAZAOUET)                    60517,POINT (-205941.05796755612 4152909.538265234)
AGE00147716,2023,14.0,2.0,0.0,228.0,15.0,38.0,1.14,95.0,828.0,,,7.29,67.3,74.0,AG,35.1,-1.85,83.0,NEMOURS (GHAZAOUET)                    60517,POINT (-205941.05796755612 4152909.538265234)
AGE00147718,2004,19.0,3.0,,,,,2.2,,,,,11.96,,,AG,34.85,5.72,125.0,BISKRA                                 60525,POINT (636747.4873375248 4119098.8511095955)
AGE00147718,2005,6.0,0.0,,,,,0.98,,,,,3.05,,,AG,34.85,5.72,125.0,BISKRA                                 60525,POINT (636747.4873375248 4119098.8511095955)
AGE00147718,2006,13.0,1.0,,,,,1.14,,,,,5.22,,,AG,34.85,5.72,125.0,BISKRA                                 60525,POINT (636747.4873375248 4119098.8511095955)
AGE00147718,2008,9.0,0.0,,,,,0.79,,,,,3.89,,,AG,34.85,5.72,125.0,BISKRA                                 60525,POINT (636747.4873375248 4119098.8511095955)
AGE00147718,2010,21.0,1.0,,,,,1.57,,,,,7.67,,,AG,34.85,5.72,125.0,BISKRA                                 60525,POINT (636747.4873375248 4119098.8511095955)
AGE00147718,2011,12.0,4.0,,,,,2.01,,,,,9.96,,,AG,34.85,5.72,125.0,BISKRA                                 60525,POINT (636747.4873375248 4119098.8511095955)
AGE00147718,2012,7.0,1.0,,,,,3.15,,,,,4.96,,,AG,34.85,5.72,125.0,BISKRA                                 60525,POINT (636747.4873375248 4119098.8511095955)
AGE00147718,2013,19.0,1.0,,,,,2.17,,,,,8.04,,,AG,34.85,5.72,125.0,BISKRA                                 60525,POINT (636747.4873375248 4119098.8511095955)
AGE00147718,2015,10.0,0.0,,,,,0.91,,,,,4.3,,,AG,34.85,5.72,125.0,BISKRA                                 60525,POINT (636747.4873375248 4119098.8511095955)
AGE00147718,2018,,,0.0,,,34.0,,,,,,,,,AG,34.85,5.72,125.0,BISKRA                                 60525,POINT (636747.4873375248 4119098.8511095955)
AGE00147719,2019,16.0,1.0,,,,,1.26,,,,,6.29,,,AG,33.7997,2.89,767.0,LAGHOUAT                               60545,POINT (321713.32839256065 3978169.470454732)
AGE00147719,2020,10.0,0.0,,,,,0.51,,,,,3.31,,,AG,33.7997,2.89,767.0,LAGHOUAT                               60545,POINT (321713.32839256065 3978169.470454732)
