country,year,Quantity_hl,Quantity_gallons,Country_Code,dp10_mean,dp10_std,dp1x_mean,dp1x_std,dt32_mean,dt32_std,dx70_mean,dx70_std,dx90_mean,dx90_std,emnt_mean,emnt_std,emxp_mean,emxp_std,emxt_mean,emxt_std,htdd_mean,htdd_std,mnpn_mean,mnpn_std,mxpn_mean,mxpn_std,prcp_mean,prcp_std,tavg_mean,tavg_std,tmax_mean,tmax_std
Micronesia,2020,,,,181.46153846153845,30.89124844950801,42.38461538461539,13.6719814556295,0.0,0.0,366.0,0.0,126.66666666666669,132.08734483918838,70.66666666666667,3.204163957519444,4.886153846153847,0.5105966846337471,94.16666666666669,2.1369760566432787,0.0,0.0,,,,,138.50230769230768,39.03463806967819,82.64999999999999,1.2308533625091156,88.8,2.0832666655999725
Micronesia,2021,,,,213.7692307692308,52.98766184398315,52.69230769230769,20.98167698804767,0.0,0.0,364.6666666666667,0.8164965809277193,115.0,143.22011031974526,70.83333333333333,1.834847859269716,5.4630769230769225,0.8517275054791549,93.5,3.146426544510454,0.0,0.0,,,,,165.27384615384614,50.392616942442,82.36666666666666,1.2323419438884124,88.55,2.4427443582986714
Micronesia,2022,,,,209.25,27.230080292339807,50.583333333333336,21.7149229514608,0.0,0.0,363.6,1.6733200530681502,80.6,123.76308011681029,69.6,3.911521443121589,5.388333333333333,1.259053275884365,93.2,3.4205262752974157,0.0,0.0,,,,,161.33,45.792101740564185,81.96000000000001,1.0853570840972044,87.97999999999999,2.514358765172546
Micronesia,2023,,,,203.0909090909091,23.14067650460784,53.36363636363637,14.800491392333749,0.0,0.0,364.6,0.54772255750517,98.6,112.61349830282336,69.2,6.140032573203499,5.762727272727273,0.8403700483607315,93.8,3.271085446759225,0.0,0.0,,,,,167.26727272727274,34.267214094790106,82.24000000000001,1.050238068249283,88.56,2.458251411064377
Moldova,1995,2964.0,78300580.8,MD,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moldova,2001,,,,44.0,,5.0,,106.0,,128.0,,16.0,,4.0,,3.06,,98.0,,5140.0,,,,,,24.31,,51.3,,59.2,
Moldova,2002,,,,53.0,,4.0,,80.0,,133.0,,15.0,,2.0,,1.69,,99.0,,5461.0,,,,,,23.78,,52.4,,60.2,
Moldova,2003,,,,50.0,,1.0,,110.0,,142.0,,8.0,,1.0,,1.38,,96.0,,6446.0,,,,,,18.08,,50.2,,57.5,
Moldova,2017,,,,,,,,,,140.5,0.7071067811865476,19.5,2.1213203435596424,,,,,100.5,0.7071067811865476,,,,,,,,,,,61.25,0.9192388155425096
Moldova,2018,,,,,,,,,,169.0,1.4142135623730951,9.0,8.48528137423857,,,,,91.0,1.4142135623730951,,,,,,,,,,,61.4,0.565685424949236
Moldova,2022,,,,,,,,,,134.0,,15.0,,,,,,96.0,,,,,,,,,,,,61.3,
Monaco,1995,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mongolia,1995,0.0,0.0,MG,12.666666666666666,10.873933246182094,0.6666666666666666,0.8876253645985945,222.57142857142856,17.868567773767275,76.9090909090909,24.606724875344728,1.6363636363636365,2.540579747724022,-23.714285714285715,11.041048949477668,0.8333333333333334,0.6504450690710076,90.9090909090909,5.243177385031819,11429.714285714286,1485.763520246489,,,,,4.651666666666666,4.118344401098652,34.471428571428575,4.410485342043547,46.3,3.69783720571904
Mongolia,1996,,,,14.77777777777778,4.603742438977711,0.6666666666666666,0.7071067811865476,217.0,16.209565077447326,94.11111111111111,18.47596035693709,1.3333333333333333,1.6583123951777,-28.666666666666668,9.287087810503351,1.1777777777777778,0.5245659581448691,90.55555555555556,2.185812841434001,11476.25,1411.9125579966244,,,,,6.404444444444445,2.9364098449940155,33.144444444444446,4.048182033676077,45.333333333333336,3.64828726939094
Mongolia,1997,,,,12.428571428571429,11.098955499812275,0.4285714285714285,0.646206172658864,203.77777777777777,16.49073814128538,89.66666666666667,15.411035007422443,5.222222222222222,5.540256712864887,-25.77777777777778,9.079892314584155,0.6971428571428572,0.6640369379372317,94.77777777777776,5.142416206847169,10875.444444444443,1345.8219710562678,,,,,4.824285714285714,4.289810313693663,35.81111111111111,4.050445791651962,47.98888888888889,3.804419944105949
Mongolia,1998,,,,17.25,8.972179222463181,1.375,1.8468119248354136,202.0,20.07841769519842,94.75,25.506238096163493,3.5,3.1766191290283907,-29.75,7.478540728549351,1.3425,1.0148434080473414,95.08333333333331,3.9876703915337774,10945.777777777776,1248.564053000264,,,,,8.235,5.309538586355693,36.6875,4.078668375130014,48.36666666666667,3.591488254023378
Mongolia,1999,,,,,,,,,,90.5,33.23401871576773,13.5,12.020815280171307,,,,,96.0,5.656854249492381,,,,,,,,,,,50.7,6.222539674441618
Mongolia,2000,,,,,,,,,,110.0,11.40175425099138,9.5,7.505553499465135,,,,,96.75,5.852349955359815,,,,,,,,,,,46.975,3.516034698349834
Mongolia,2001,,,,,,,,,,97.75,19.83323329306502,11.875,11.4572185604909,,,,,94.875,5.221863378417435,,,,,,,,,,,50.3125,3.8181661641608606
Mongolia,2002,,,,,,,,,,88.28571428571429,18.768007226077444,6.571428571428571,6.425396041156863,,,,,93.57142857142856,5.0615262143989375,,,,,,,,,,,45.22857142857144,2.836496833369336
Mongolia,2003,,,,,,,,,,66.8125,26.031311274437687,0.9375,1.526160760426852,,,,,87.5,4.774934554525329,,,,,,,,,,,44.925,3.758989225842499
Mongolia,2004,,,,,,,,,,81.3,18.23336380253396,7.6,8.1948493308636,,,,,95.8,6.303438215238835,,,,,,,,,,,47.49,2.483926103749643
Mongolia,2005,,,,,,,,,,83.41666666666667,22.00576340844384,6.25,6.50250787740024,,,,,95.08333333333331,5.38852780303284,,,,,,,,,,,43.6625,5.402641262261976
Mongolia,2006,,,,,,,,,,87.28,24.914052259718808,4.2,4.725815626252608,,,,,92.08,3.673327283721576,,,,,,,,,,,46.78,4.028130252776508
Mongolia,2007,,,,,,,,,,102.90322580645162,23.295714682761837,13.193548387096774,10.690866366011408,,,,,96.12903225806453,5.993006677141121,,,,,,,,,,,49.1741935483871,3.5575242085787213
Mongolia,2008,,,,,,,,,,88.8,21.846486342596176,8.066666666666666,7.6109419115907855,,,,,95.73333333333332,5.601313474862672,,,,,,,,,,,47.42333333333333,3.864755274701534
Mongolia,2009,,,,,,,,,,91.70967741935485,28.04067705838204,5.354838709677419,7.021625581476957,,,,,91.58064516129032,5.760637658849856,,,,,,,,,,,45.76451612903226,5.122014472652779
Mongolia,2010,,,,,,,,,,95.56666666666666,22.642168979405525,10.6,10.074207421550032,,,,,97.43333333333334,6.657551239438355,,,,,,,,,,,44.07333333333334,4.03902799277707
Mongolia,2011,,,,,,,,,,89.02777777777777,23.228659774524974,6.0,6.568322247184371,,,,,93.55555555555556,4.729508850637027,,,,,,,,,,,44.63611111111111,3.750211634239767
Mongolia,2012,,,,,,,,,,88.25,25.05606616396324,3.25,5.0225298855868346,,,,,90.96875,4.299170024926413,,,,,,,,,,,42.8875,4.513188558850817
Mongolia,2013,,,,,,,,,,83.75,34.11859568371142,2.25,5.939576704494305,,,,,87.30555555555556,5.517864206087845,,,,,,,,,,,45.78055555555555,4.591471562703085
Mongolia,2014,,,,,,,,,,86.6842105263158,27.083559651824576,5.657894736842105,7.563340874098521,,,,,92.60526315789474,5.768223641896199,,,,,,,,,,,46.73684210526316,5.148047179094148
Mongolia,2015,,,,,,,,,,95.10810810810813,24.586337425244697,7.378378378378378,6.317310219421585,,,,,93.91891891891892,4.745631783126564,,,,,,,,,,,47.2054054054054,4.4636772300889325
Mongolia,2016,,,,,,,,,,85.05405405405405,30.00828214005255,8.35135135135135,9.336952322823477,,,,,94.72972972972973,7.00653920217332,,,,,,,,,,,44.38378378378378,5.058080087758017
Mongolia,2017,,,,,,,,,,100.05263157894736,23.92098182069462,11.157894736842104,8.942840457487748,,,,,95.6842105263158,6.138514932465541,,,,,,,,,,,47.34736842105264,4.719467265063168
Mongolia,2018,,,,,,,,,,95.175,28.76686796138384,5.65,7.992143578187204,,,,,90.9,5.921711464320654,,,,,,,,,,,45.9775,4.638937074318553
Mongolia,2019,,,,,,,,,,94.4,25.68128122053503,5.275,7.2217176023578435,,,,,90.25,6.558416006386032,,,,,,,,,,,46.78,4.657346003344802
Mongolia,2020,,,,,,,,,,90.9,28.09398147062453,4.5,6.356906198006732,,,,,90.275,6.409078096831249,,,,,,,,,,,46.21,4.53481122214727
Mongolia,2022,,,,,,,,,,92.34375,27.015657795601285,5.46875,6.724938541510753,,,,,92.21875,4.790678953834174,,,,,,,,,,,45.16875,4.898744901799159
Mongolia,2023,,,,,,,,,,81.20689655172414,21.379862538554537,6.862068965517241,9.318660763416885,,,,,93.48275862068964,5.4223129596614354,,,,,,,,,,,45.88965517241379,4.464490438655596
Montenegro,2012,,,,,,,,,,185.0,,87.0,,,,,,111.0,,,,,,,,,,,,72.6,
